method,hospital,seed,split,roc,pr,mcc,f1p,n,neff
N12_maxp,huaxi,2024,external,0.5573863636363636,0.4961240705949451,0.0,0.5378151260504201,87,1.0
N12_maxp,huaxi,3407,val,0.6786140979689367,0.6601674206226222,0.261925505493933,0.6451612903225806,58,1.0
N12_maxp,huaxi,3407,external,0.5596590909090908,0.4256890582824584,0.16744978485823447,0.5565217391304348,87,1.0
N12_maxp,huaxi,114514,val,0.7228195937873356,0.7173542726237525,0.23964835850930855,0.6666666666666666,58,1.0
N12_maxp,huaxi,114514,external,0.47102272727272726,0.4370568936713588,0.0,0.5378151260504201,87,1.0
N12_maxp,liaoning,42,val,0.7863777089783281,0.7782828613930102,0.0,0.6909090909090909,36,1.0
N12_maxp,liaoning,42,external,0.57058085130663,0.4068540803856629,0.0,0.5207547169811321,196,1.0
N12_maxp,liaoning,123,val,0.7523219814241485,0.8070518355418186,0.2829605671175097,0.7111111111111111,36,1.0
N12_maxp,liaoning,123,external,0.5385142074631976,0.3613365645495243,0.05223800925908906,0.4470588235294118,196,1.0
N12_maxp,liaoning,2024,val,0.7523219814241485,0.7945540879259938,0.0,0.6909090909090909,36,1.0
N12_maxp,liaoning,2024,external,0.4808855414812279,0.3622062576406947,0.0,0.5207547169811321,196,1.0
N12_maxp,liaoning,3407,val,0.736842105263158,0.7726962748409651,0.0,0.6909090909090909,36,1.0
N12_maxp,liaoning,3407,external,0.6011639849366655,0.4267286112902138,-0.12026730470341086,0.5057471264367817,196,1.0
N12_maxp,liaoning,114514,val,0.7616099071207431,0.8309112670954775,0.2382212805718396,0.7083333333333334,36,1.0
N12_maxp,liaoning,114514,external,0.5769713568412644,0.38363024720191274,0.20666913059989395,0.5473684210526316,196,1.0
N12_maxp,xiangya,42,val,0.638888888888889,0.4797708099379063,0.15291057030852148,0.5454545454545454,56,1.0
N12_maxp,xiangya,42,external,0.608457711442786,0.7969297259865787,-0.0970904292567502,0.8024691358024691,97,1.0
N12_maxp,xiangya,123,val,0.6847222222222222,0.6495359277964863,0.08606629658238704,0.5161290322580645,56,1.0
N12_maxp,xiangya,123,external,0.3925373134328358,0.6451507025098628,-0.03845207725149579,0.782051282051282,97,1.0
N12_maxp,xiangya,2024,val,0.6416666666666666,0.44341869307126863,0.0,0.5263157894736842,56,1.0
N12_maxp,xiangya,2024,external,0.4194029850746268,0.6505468055300234,0.0,0.8170731707317073,97,1.0
N12_maxp,xiangya,3407,val,0.6958333333333333,0.5288496812491592,0.10050378152592121,0.5333333333333333,56,1.0
N12_maxp,xiangya,3407,external,0.5373134328358209,0.706831596597081,0.07198080767658825,0.802547770700637,97,1.0
N12_maxp,xiangya,114514,val,0.6652777777777777,0.47961725701293284,0.1690308509457033,0.5507246376811594,56,1.0
N12_maxp,xiangya,114514,external,0.4716417910447761,0.6840412115016431,0.0,0.8170731707317073,97,1.0
