method,hospital,seed,split,roc,pr,mcc,f1p,sens,spec,n,neff,u_mean,u_std
Ours_UW_noAux,huaxi,2024,external,0.5892045454545455,0.4474479654859684,0.013514061940433385,0.5344827586206896,0.96875,0.03636363636363636,87,11.991115678479613,0.250335203562203,0.013201265990025086
Ours_UW_noAux,huaxi,3407,val,0.7204301075268817,0.6920996695958748,0.323714815841943,0.6666666666666666,0.7407407407407407,0.5806451612903226,58,11.993980561588053,0.25072227341347725,0.010717835681372148
Ours_UW_noAux,huaxi,3407,external,0.5670454545454545,0.428462340061652,0.0,0.5378151260504201,1.0,0.0,87,11.99320794851441,0.2576964130603719,0.011538958869293292
Ours_UW_noAux,huaxi,114514,val,0.6965352449223416,0.6522298840528065,0.06189037796121724,0.6341463414634146,0.9629629629629629,0.06451612903225806,58,11.989391037278004,0.32286228128205774,0.014060656115172362
Ours_UW_noAux,huaxi,114514,external,0.4590909090909091,0.35515877012370256,0.0,0.5378151260504201,1.0,0.0,87,11.993230695695967,0.3183303331792126,0.011541509285313842
Ours_UW_noAux,liaoning,42,val,0.7925696594427244,0.847153933580526,0.0,0.6909090909090909,1.0,0.0,36,11.994198312536987,0.29871354321086846,0.01015909515316068
Ours_UW_noAux,liaoning,42,external,0.5514093347027273,0.3814274048339185,0.0,0.5207547169811321,1.0,0.0,196,11.995789861686156,0.2963288713018505,0.00871413489836858
Ours_UW_noAux,liaoning,123,val,0.761609907120743,0.8393459145572157,0.2737199309863917,0.6666666666666666,0.6842105263157895,0.5882352941176471,36,11.998972320860968,0.25029454280242874,0.004417644891996903
Ours_UW_noAux,liaoning,123,external,0.5488987789569781,0.38973560583275624,0.13395734777001156,0.5081081081081081,0.6811594202898551,0.4566929133858268,196,11.99883403417404,0.2507089092301167,0.004670866097384373
Ours_UW_noAux,liaoning,2024,val,0.78328173374613,0.8564736427702448,0.1635789462299856,0.6808510638297872,0.8421052631578947,0.29411764705882354,36,11.997611144245278,0.24042477272450918,0.0059667303196711515
Ours_UW_noAux,liaoning,2024,external,0.5582563049184069,0.379303386439895,0.06376499650092625,0.5023255813953489,0.782608695652174,0.2755905511811024,196,11.998340401455904,0.2397419397091987,0.0054459245597656076
Ours_UW_noAux,liaoning,3407,val,0.7863777089783281,0.8466228290312956,0.19672236884115843,0.7058823529411765,0.9473684210526315,0.17647058823529413,36,11.997880489173053,0.2535137009151556,0.006153613935473869
Ours_UW_noAux,liaoning,3407,external,0.5568869108752711,0.3791409030474019,-0.055507986786189636,0.4918032786885246,0.8695652173913043,0.09448818897637795,196,11.997370341793902,0.2540988903429334,0.006723148681823944
Ours_UW_noAux,liaoning,114514,val,0.78328173374613,0.8539761133394717,0.215594634005188,0.6666666666666666,0.7368421052631579,0.47058823529411764,36,11.996734937863092,0.2593737038335314,0.007386499110592409
Ours_UW_noAux,liaoning,114514,external,0.6032180760013693,0.4330541418875348,0.2216724542172882,0.5454545454545454,0.6956521739130435,0.5354330708661418,196,11.997953088943804,0.26158881857104244,0.006196500554377367
