threshold,ROC-AUC,PR-AUC,平衡准确率,准确率,MCC,敏感度,特异度,PPV,NPV,F1+,TN,FP,FN,TP,rule_meet_sens
0.497,0.7819078947368422,0.8177800213759601,0.684187030075188,0.6689419795221843,0.3841310733705479,0.51875,0.849624060150376,0.8058252427184466,0.5947368421052631,0.6311787072243347,113,20,77,83,False
0.498,0.7819078947368422,0.8177800213759601,0.681062030075188,0.6655290102389079,0.3784656106350536,0.5125,0.849624060150376,0.803921568627451,0.5916230366492147,0.6259541984732824,113,20,78,82,False
0.499,0.7819078947368422,0.8177800213759601,0.6779370300751879,0.6621160409556314,0.3727956565780633,0.50625,0.849624060150376,0.801980198019802,0.5885416666666666,0.6206896551724138,113,20,79,81,False
0.5,0.7819078947368422,0.8177800213759601,0.6779370300751879,0.6621160409556314,0.3727956565780633,0.50625,0.849624060150376,0.801980198019802,0.5885416666666666,0.6206896551724138,113,20,79,81,False
0.501,0.7819078947368422,0.8177800213759601,0.6779370300751879,0.6621160409556314,0.3727956565780633,0.50625,0.849624060150376,0.801980198019802,0.5885416666666666,0.6206896551724138,113,20,79,81,False
0.502,0.7819078947368422,0.8177800213759601,0.674812030075188,0.658703071672355,0.3671203588777505,0.5,0.849624060150376,0.8,0.5854922279792746,0.6153846153846154,113,20,80,80,False
0.503,0.7819078947368422,0.8177800213759601,0.671687030075188,0.6552901023890785,0.36143885124680075,0.49375,0.849624060150376,0.797979797979798,0.5824742268041238,0.61003861003861,113,20,81,79,False
0.504,0.7819078947368422,0.8177800213759601,0.671687030075188,0.6552901023890785,0.36143885124680075,0.49375,0.849624060150376,0.797979797979798,0.5824742268041238,0.61003861003861,113,20,81,79,False
0.505,0.7819078947368422,0.8177800213759601,0.668562030075188,0.6518771331058021,0.3557502524970152,0.4875,0.849624060150376,0.7959183673469388,0.5794871794871795,0.6046511627906976,113,20,82,78,False
0.506,0.7819078947368422,0.8177800213759601,0.6723214285714285,0.6552901023890785,0.3646205912840774,0.4875,0.8571428571428571,0.8041237113402062,0.5816326530612245,0.6070038910505836,114,19,82,78,False
0.507,0.7819078947368422,0.8177800213759601,0.6723214285714285,0.6552901023890785,0.3646205912840774,0.4875,0.8571428571428571,0.8041237113402062,0.5816326530612245,0.6070038910505836,114,19,82,78,False
0.508,0.7819078947368422,0.8177800213759601,0.6723214285714285,0.6552901023890785,0.3646205912840774,0.4875,0.8571428571428571,0.8041237113402062,0.5816326530612245,0.6070038910505836,114,19,82,78,False
0.509,0.7819078947368422,0.8177800213759601,0.6691964285714286,0.6518771331058021,0.358953563808906,0.48125,0.8571428571428571,0.8020833333333334,0.5786802030456852,0.6015625,114,19,83,77,False
0.51,0.7819078947368422,0.8177800213759601,0.6691964285714286,0.6518771331058021,0.358953563808906,0.48125,0.8571428571428571,0.8020833333333334,0.5786802030456852,0.6015625,114,19,83,77,False
0.511,0.7819078947368422,0.8177800213759601,0.6691964285714286,0.6518771331058021,0.358953563808906,0.48125,0.8571428571428571,0.8020833333333334,0.5786802030456852,0.6015625,114,19,83,77,False
0.512,0.7819078947368422,0.8177800213759601,0.6691964285714286,0.6518771331058021,0.358953563808906,0.48125,0.8571428571428571,0.8020833333333334,0.5786802030456852,0.6015625,114,19,83,77,False
0.513,0.7819078947368422,0.8177800213759601,0.6691964285714286,0.6518771331058021,0.358953563808906,0.48125,0.8571428571428571,0.8020833333333334,0.5786802030456852,0.6015625,114,19,83,77,False
0.514,0.7819078947368422,0.8177800213759601,0.6691964285714286,0.6518771331058021,0.358953563808906,0.48125,0.8571428571428571,0.8020833333333334,0.5786802030456852,0.6015625,114,19,83,77,False
0.515,0.7819078947368422,0.8177800213759601,0.6698308270676692,0.6518771331058021,0.3622779212297277,0.475,0.8646616541353384,0.8085106382978723,0.5778894472361809,0.5984251968503936,115,18,84,76,False
0.516,0.7819078947368422,0.8177800213759601,0.6735902255639097,0.6552901023890785,0.3713510043573628,0.475,0.8721804511278195,0.8172043010752689,0.58,0.6007905138339921,116,17,84,76,False
0.517,0.7819078947368422,0.8177800213759601,0.6642152255639098,0.6450511945392492,0.35445405980296063,0.45625,0.8721804511278195,0.8111111111111111,0.5714285714285714,0.584,116,17,87,73,False
0.518,0.7819078947368422,0.8177800213759601,0.6617246240601504,0.6416382252559727,0.35245097900551137,0.44375,0.8796992481203008,0.8160919540229885,0.5679611650485437,0.5748987854251013,117,16,89,71,False
0.519,0.7819078947368422,0.8177800213759601,0.6585996240601504,0.6382252559726962,0.3468035725630289,0.4375,0.8796992481203008,0.813953488372093,0.5652173913043478,0.5691056910569106,117,16,90,70,False
0.52,0.7819078947368422,0.8177800213759601,0.6554746240601503,0.6348122866894198,0.3411412154696104,0.43125,0.8796992481203008,0.8117647058823529,0.5625,0.563265306122449,117,16,91,69,False
0.521,0.7819078947368422,0.8177800213759601,0.6554746240601503,0.6348122866894198,0.3411412154696104,0.43125,0.8796992481203008,0.8117647058823529,0.5625,0.563265306122449,117,16,91,69,False
0.522,0.7819078947368422,0.8177800213759601,0.6460996240601504,0.6245733788395904,0.32405352653516856,0.4125,0.8796992481203008,0.8048780487804879,0.5545023696682464,0.5454545454545455,117,16,94,66,False
0.523,0.7819078947368422,0.8177800213759601,0.6467340225563909,0.6245733788395904,0.3279531719092466,0.40625,0.8872180451127819,0.8125,0.5539906103286385,0.5416666666666666,118,15,95,65,False
0.524,0.7819078947368422,0.8177800213759601,0.6504934210526316,0.6279863481228669,0.3376858710792785,0.40625,0.8947368421052632,0.8227848101265823,0.5560747663551402,0.5439330543933055,119,14,95,65,False
0.525,0.7819078947368422,0.8177800213759601,0.6411184210526316,0.6177474402730375,0.32059950906840895,0.3875,0.8947368421052632,0.8157894736842105,0.5483870967741935,0.5254237288135594,119,14,98,62,False
0.526,0.7819078947368422,0.8177800213759601,0.6492716165413533,0.6245733788395904,0.34524759222266527,0.38125,0.9172932330827067,0.8472222222222222,0.5520361990950227,0.5258620689655172,122,11,99,61,False
0.527,0.7819078947368422,0.8177800213759601,0.6567904135338345,0.6313993174061433,0.3661287741294302,0.38125,0.9323308270676691,0.8714285714285714,0.5560538116591929,0.5304347826086956,124,9,99,61,False
0.528,0.7819078947368422,0.8177800213759601,0.6449248120300752,0.6177474402730375,0.3492615886228016,0.35,0.9398496240601504,0.875,0.5458515283842795,0.4999999999999999,125,8,104,56,False
0.529,0.7819078947368422,0.8177800213759601,0.6486842105263158,0.621160409556314,0.3603682045036547,0.35,0.9473684210526315,0.8888888888888888,0.5478260869565217,0.5022421524663676,126,7,104,56,False
0.53,0.7819078947368422,0.8177800213759601,0.6399436090225564,0.6109215017064846,0.3497203862310746,0.325,0.9548872180451128,0.896551724137931,0.5404255319148936,0.4770642201834863,127,6,108,52,False
0.531,0.7819078947368422,0.8177800213759601,0.6368186090225564,0.6075085324232082,0.3441656708198986,0.31875,0.9548872180451128,0.8947368421052632,0.538135593220339,0.47004608294930866,127,6,109,51,False
0.532,0.7819078947368422,0.8177800213759601,0.6305686090225564,0.6006825938566553,0.3329544024690256,0.30625,0.9548872180451128,0.8909090909090909,0.5336134453781513,0.45581395348837206,127,6,111,49,False
0.533,0.7819078947368422,0.8177800213759601,0.6187030075187969,0.5870307167235495,0.3167266278233101,0.275,0.9624060150375939,0.8979591836734694,0.5245901639344263,0.4210526315789474,128,5,116,44,False
0.534,0.7819078947368422,0.8177800213759601,0.6193374060150376,0.5870307167235495,0.32379930965617193,0.26875,0.9699248120300752,0.9148936170212766,0.524390243902439,0.41545893719806765,129,4,117,43,False
0.535,0.7819078947368422,0.8177800213759601,0.6037124060150376,0.5699658703071673,0.2947033082087243,0.2375,0.9699248120300752,0.9047619047619048,0.5139442231075697,0.37623762376237624,129,4,122,38,False
0.536,0.7819078947368422,0.8177800213759601,0.5980968045112782,0.5631399317406144,0.29074267339529225,0.21875,0.9774436090225563,0.9210526315789473,0.5098039215686274,0.35353535353535354,130,3,125,35,False
0.537,0.7819078947368422,0.8177800213759601,0.5956062030075188,0.5597269624573379,0.29353372296885133,0.20625,0.9849624060150376,0.9428571428571428,0.5077519379844961,0.3384615384615384,131,2,127,33,False
0.538,0.7819078947368422,0.8177800213759601,0.5868656015037593,0.5494880546075085,0.2853153498529267,0.18125,0.9924812030075187,0.9666666666666667,0.5019011406844106,0.30526315789473685,132,1,131,29,False
0.539,0.7819078947368422,0.8177800213759601,0.5712406015037593,0.5324232081911263,0.2539253055993062,0.15,0.9924812030075187,0.96,0.4925373134328358,0.2594594594594595,132,1,136,24,False
0.54,0.7819078947368422,0.8177800213759601,0.56875,0.5290102389078498,0.2597721113120078,0.1375,1.0,1.0,0.4907749077490775,0.2417582417582418,133,0,138,22,False
0.541,0.7819078947368422,0.8177800213759601,0.5625,0.5221843003412969,0.24677405839641228,0.125,1.0,1.0,0.48717948717948717,0.2222222222222222,133,0,140,20,False
0.542,0.7819078947368422,0.8177800213759601,0.559375,0.5187713310580204,0.24008628315183736,0.11875,1.0,1.0,0.4854014598540146,0.2122905027932961,133,0,141,19,False
0.543,0.7819078947368422,0.8177800213759601,0.55,0.5085324232081911,0.219121976153039,0.1,1.0,1.0,0.48014440433212996,0.18181818181818182,133,0,144,16,False
0.544,0.7819078947368422,0.8177800213759601,0.55,0.5085324232081911,0.219121976153039,0.1,1.0,1.0,0.48014440433212996,0.18181818181818182,133,0,144,16,False
