threshold,ROC-AUC,PR-AUC,平衡准确率,准确率,MCC,敏感度,特异度,PPV,NPV,F1+,TN,FP,FN,TP,rule_meet_sens
0.094,0.7437114380635975,0.7653693913807209,0.5,0.4673913043478261,0.0,1.0,0.0,0.4673913043478261,0.0,0.6370370370370371,0,98,0,86,True
0.095,0.7437114380635975,0.7653693913807209,0.5,0.4673913043478261,0.0,1.0,0.0,0.4673913043478261,0.0,0.6370370370370371,0,98,0,86,True
0.096,0.7437114380635975,0.7653693913807209,0.5,0.4673913043478261,0.0,1.0,0.0,0.4673913043478261,0.0,0.6370370370370371,0,98,0,86,True
0.097,0.7437114380635975,0.7653693913807209,0.5,0.4673913043478261,0.0,1.0,0.0,0.4673913043478261,0.0,0.6370370370370371,0,98,0,86,True
0.098,0.7437114380635975,0.7653693913807209,0.5,0.4673913043478261,0.0,1.0,0.0,0.4673913043478261,0.0,0.6370370370370371,0,98,0,86,True
0.099,0.7437114380635975,0.7653693913807209,0.5,0.4673913043478261,0.0,1.0,0.0,0.4673913043478261,0.0,0.6370370370370371,0,98,0,86,True
0.1,0.7437114380635975,0.7653693913807209,0.5,0.4673913043478261,0.0,1.0,0.0,0.4673913043478261,0.0,0.6370370370370371,0,98,0,86,True
0.101,0.7437114380635975,0.7653693913807209,0.5,0.4673913043478261,0.0,1.0,0.0,0.4673913043478261,0.0,0.6370370370370371,0,98,0,86,True
0.102,0.7437114380635975,0.7653693913807209,0.5,0.4673913043478261,0.0,1.0,0.0,0.4673913043478261,0.0,0.6370370370370371,0,98,0,86,True
0.103,0.7437114380635975,0.7653693913807209,0.5,0.4673913043478261,0.0,1.0,0.0,0.4673913043478261,0.0,0.6370370370370371,0,98,0,86,True
0.104,0.7437114380635975,0.7653693913807209,0.5,0.4673913043478261,0.0,1.0,0.0,0.4673913043478261,0.0,0.6370370370370371,0,98,0,86,True
0.105,0.7437114380635975,0.7653693913807209,0.5,0.4673913043478261,0.0,1.0,0.0,0.4673913043478261,0.0,0.6370370370370371,0,98,0,86,True
0.106,0.7437114380635975,0.7653693913807209,0.5,0.4673913043478261,0.0,1.0,0.0,0.4673913043478261,0.0,0.6370370370370371,0,98,0,86,True
0.107,0.7437114380635975,0.7653693913807209,0.5,0.4673913043478261,0.0,1.0,0.0,0.4673913043478261,0.0,0.6370370370370371,0,98,0,86,True
0.108,0.7437114380635975,0.7653693913807209,0.5,0.4673913043478261,0.0,1.0,0.0,0.4673913043478261,0.0,0.6370370370370371,0,98,0,86,True
0.109,0.7437114380635975,0.7653693913807209,0.5,0.4673913043478261,0.0,1.0,0.0,0.4673913043478261,0.0,0.6370370370370371,0,98,0,86,True
0.11,0.7437114380635975,0.7653693913807209,0.5,0.4673913043478261,0.0,1.0,0.0,0.4673913043478261,0.0,0.6370370370370371,0,98,0,86,True
0.111,0.7437114380635975,0.7653693913807209,0.5,0.4673913043478261,0.0,1.0,0.0,0.4673913043478261,0.0,0.6370370370370371,0,98,0,86,True
0.112,0.7437114380635975,0.7653693913807209,0.5,0.4673913043478261,0.0,1.0,0.0,0.4673913043478261,0.0,0.6370370370370371,0,98,0,86,True
0.113,0.7437114380635975,0.7653693913807209,0.5,0.4673913043478261,0.0,1.0,0.0,0.4673913043478261,0.0,0.6370370370370371,0,98,0,86,True
0.114,0.7437114380635975,0.7653693913807209,0.5,0.4673913043478261,0.0,1.0,0.0,0.4673913043478261,0.0,0.6370370370370371,0,98,0,86,True
0.115,0.7437114380635975,0.7653693913807209,0.5,0.4673913043478261,0.0,1.0,0.0,0.4673913043478261,0.0,0.6370370370370371,0,98,0,86,True
0.116,0.7437114380635975,0.7653693913807209,0.5,0.4673913043478261,0.0,1.0,0.0,0.4673913043478261,0.0,0.6370370370370371,0,98,0,86,True
0.117,0.7437114380635975,0.7653693913807209,0.5,0.4673913043478261,0.0,1.0,0.0,0.4673913043478261,0.0,0.6370370370370371,0,98,0,86,True
0.118,0.7437114380635975,0.7653693913807209,0.5,0.4673913043478261,0.0,1.0,0.0,0.4673913043478261,0.0,0.6370370370370371,0,98,0,86,True
0.119,0.7437114380635975,0.7653693913807209,0.5,0.4673913043478261,0.0,1.0,0.0,0.4673913043478261,0.0,0.6370370370370371,0,98,0,86,True
0.12,0.7437114380635975,0.7653693913807209,0.5,0.4673913043478261,0.0,1.0,0.0,0.4673913043478261,0.0,0.6370370370370371,0,98,0,86,True
0.121,0.7437114380635975,0.7653693913807209,0.5,0.4673913043478261,0.0,1.0,0.0,0.4673913043478261,0.0,0.6370370370370371,0,98,0,86,True
0.122,0.7437114380635975,0.7653693913807209,0.5,0.4673913043478261,0.0,1.0,0.0,0.4673913043478261,0.0,0.6370370370370371,0,98,0,86,True
0.123,0.7437114380635975,0.7653693913807209,0.5,0.4673913043478261,0.0,1.0,0.0,0.4673913043478261,0.0,0.6370370370370371,0,98,0,86,True
0.124,0.7437114380635975,0.7653693913807209,0.5,0.4673913043478261,0.0,1.0,0.0,0.4673913043478261,0.0,0.6370370370370371,0,98,0,86,True
0.125,0.7437114380635975,0.7653693913807209,0.5,0.4673913043478261,0.0,1.0,0.0,0.4673913043478261,0.0,0.6370370370370371,0,98,0,86,True
0.126,0.7437114380635975,0.7653693913807209,0.5,0.4673913043478261,0.0,1.0,0.0,0.4673913043478261,0.0,0.6370370370370371,0,98,0,86,True
0.127,0.7437114380635975,0.7653693913807209,0.5,0.4673913043478261,0.0,1.0,0.0,0.4673913043478261,0.0,0.6370370370370371,0,98,0,86,True
0.128,0.7437114380635975,0.7653693913807209,0.5,0.4673913043478261,0.0,1.0,0.0,0.4673913043478261,0.0,0.6370370370370371,0,98,0,86,True
0.129,0.7437114380635975,0.7653693913807209,0.5,0.4673913043478261,0.0,1.0,0.0,0.4673913043478261,0.0,0.6370370370370371,0,98,0,86,True
0.13,0.7437114380635975,0.7653693913807209,0.5,0.4673913043478261,0.0,1.0,0.0,0.4673913043478261,0.0,0.6370370370370371,0,98,0,86,True
